Ranking,School Name,State,School Sector,Location,Total Enrolment,Percentage
102,Paynesville Primary School,VIC,Government,Outer Regional,153,86.56%
103,Fitzroy North Primary School,VIC,Government,Major Cities,532,86.54%
104,Black Rock Primary School,VIC,Government,Major Cities,586,86.51%
105,Yarraville West Primary School,VIC,Government,Major Cities,821,86.49%
106,Ashburton Primary School,VIC,Government,Major Cities,551,86.49%
107,Laburnum Primary School,VIC,Government,Major Cities,771,86.47%
108,Our Lady Help of Christians School,VIC,Catholic,Major Cities,316,86.47%
109,Heidelberg Primary School,VIC,Government,Major Cities,517,86.46%
110,Heathdale Christian College,VIC,Independent,Major Cities,1237,86.46%
111,Mount Waverley Primary School,VIC,Government,Major Cities,801,86.44%
112,Ormond Primary School,VIC,Government,Major Cities,414,86.37%
113,St Joseph's School,VIC,Catholic,Major Cities,341,86.37%
114,Heatherton Christian College,VIC,Independent,Major Cities,370,86.37%
115,Westgarth Primary School,VIC,Government,Major Cities,647,86.35%
116,Kensington Primary School,VIC,Government,Major Cities,480,86.34%
117,St Catherine's School,VIC,Independent,Major Cities,689,86.34%
118,Shelford Girls' Grammar,VIC,Independent,Major Cities,504,86.34%
119,Panton Hill Primary School,VIC,Government,Major Cities,118,86.25%
120,Glen Iris Primary School,VIC,Government,Major Cities,423,86.22%
121,Mount Macedon Primary School,VIC,Government,Inner Regional,128,86.11%
122,Malvern Primary School,VIC,Government,Major Cities,697,86.11%
123,Alphington Grammar School,VIC,Independent,Major Cities,525,86.08%
124,Auburn South Primary School,VIC,Government,Major Cities,674,86.06%
125,Hawthorn West Primary School,VIC,Government,Major Cities,486,85.96%
126,Penleigh & Essendon Grammar School,VIC,Independent,Major Cities,2446,85.94%
127,Kew East Primary School,VIC,Government,Major Cities,470,85.93%
128,Parkdale Primary School,VIC,Government,Major Cities,665,85.93%
129,Blackburn Lake Primary School,VIC,Government,Major Cities,469,85.91%
130,St Kevin's School,VIC,Catholic,Major Cities,127,85.89%
131,St Roch's School,VIC,Catholic,Major Cities,169,85.89%
132,Dunkeld Consolidated School,VIC,Government,Outer Regional,104,85.84%
133,Essendon Primary School,VIC,Government,Major Cities,509,85.81%
134,Valkstone Primary School,VIC,Government,Major Cities,676,85.81%
135,Mont Albert Primary School,VIC,Government,Major Cities,718,85.77%
136,Yackandandah Primary School,VIC,Government,Inner Regional,143,85.75%
137,Orchard Grove Primary School,VIC,Government,Major Cities,662,85.75%
138,Gardenvale Primary School,VIC,Government,Major Cities,663,85.72%
139,Malvern Valley Primary School,VIC,Government,Major Cities,253,85.72%
140,The King David School,VIC,Independent,Major Cities,595,85.68%
141,Surrey Hills Primary School,VIC,Government,Major Cities,404,85.65%
142,Balwyn North Primary School,VIC,Government,Major Cities,479,85.65%
143,Doreen Primary School,VIC,Government,Major Cities,151,85.58%
144,Clifton Hill Primary School,VIC,Government,Major Cities,746,85.58%
145,Strathmore North Primary School,VIC,Government,Major Cities,425,85.55%
146,Donvale Christian College,VIC,Independent,Major Cities,1255,85.51%
147,Aireys Inlet Primary School,VIC,Government,Inner Regional,109,85.51%
148,Bialik College,VIC,Independent,Major Cities,874,85.48%
149,Kororoit Creek Primary School,VIC,Government,Major Cities,1178,85.48%
150,Ivanhoe Grammar School,VIC,Independent,Major Cities,1913,85.39%
151,Deutsche Schule Melbourne,VIC,Independent,Major Cities,103,85.38%
152,Mount Waverley North Primary School,VIC,Government,Major Cities,233,85.38%
153,Rangeview Primary School,VIC,Government,Major Cities,582,85.36%
154,Mount Pleasant Road Nunawading Primary School,VIC,Government,Major Cities,328,85.34%
155,St Michael's School,VIC,Catholic,Major Cities,305,85.34%
156,Inverleigh Primary School,VIC,Government,Inner Regional,202,85.32%
157,Woorinen District Primary School,VIC,Government,Outer Regional,86,85.32%
158,Lloyd Street Primary School,VIC,Government,Major Cities,533,85.31%
159,St Mary's School,VIC,Catholic,Major Cities,344,85.31%
160,Nunawading Christian College - Primary,VIC,Independent,Major Cities,186,85.29%
161,Fyans Park Primary School,VIC,Government,Major Cities,311,85.27%
162,Donvale Primary School,VIC,Government,Major Cities,256,85.26%
163,Syndal South Primary School,VIC,Government,Major Cities,423,85.24%
164,Mountain Gate Primary School,VIC,Government,Major Cities,359,85.22%
165,Templestowe Park Primary School,VIC,Government,Major Cities,455,85.20%
166,Templestowe Heights Primary School,VIC,Government,Major Cities,345,85.19%
167,Alamanda K-9 College,VIC,Government,Major Cities,2065,85.19%
168,Brentwood Park Primary School,VIC,Government,Major Cities,710,85.17%
169,St Kilda Primary School,VIC,Government,Major Cities,599,85.15%
170,Brighton Beach Primary School,VIC,Government,Major Cities,379,85.15%
171,Southern Cross Grammar,VIC,Independent,Major Cities,532,85.15%
172,Cheltenham East Primary School,VIC,Government,Major Cities,438,85.14%
173,Tintern Grammar,VIC,Independent,Major Cities,804,85.14%
174,St Gregory the Great School,VIC,Catholic,Major Cities,426,85.12%
175,Wales Street Primary School,VIC,Government,Major Cities,603,85.08%
176,Sacre Coeur,VIC,Catholic,Major Cities,720,85.08%
177,St Mary's School,VIC,Catholic,Major Cities,323,85.08%
178,Our Lady of Perpetual Succour School,VIC,Catholic,Major Cities,186,85.08%
179,Good News Lutheran College,VIC,Independent,Major Cities,879,85.08%
180,Mitcham Primary School,VIC,Government,Major Cities,410,85.07%
181,Yarra Valley Grammar,VIC,Independent,Major Cities,1214,85.02%
182,North Melbourne Primary School,VIC,Government,Major Cities,743,85.00%
183,Antonio Park Primary School,VIC,Government,Major Cities,503,85.00%
184,Belmont Primary School,VIC,Government,Major Cities,302,84.98%
185,Williamstown North Primary School,VIC,Government,Major Cities,766,84.98%
186,Cardross Primary School,VIC,Government,Outer Regional,104,84.98%
187,Donburn Primary School,VIC,Government,Major Cities,455,84.98%
188,Aspendale Primary School,VIC,Government,Major Cities,532,84.93%
189,St Vincent de Paul's School,VIC,Catholic,Major Cities,432,84.91%
190,Geelong Grammar School,VIC,Independent,Major Cities,1448,84.90%
191,Merri Creek Primary School,VIC,Government,Major Cities,440,84.88%
192,Boroondara Park Primary School,VIC,Government,Major Cities,632,84.86%
193,Fairfield Primary School,VIC,Government,Major Cities,487,84.83%
194,St Leonard's School,VIC,Catholic,Major Cities,277,84.78%
195,Blackburn Primary School,VIC,Government,Major Cities,518,84.76%
196,St Clement of Rome School,VIC,Catholic,Major Cities,354,84.72%
197,Beth Rivkah Ladies College,VIC,Independent,Major Cities,590,84.72%
198,Overnewton Anglican Community College,VIC,Independent,Major Cities,2109,84.72%
199,Carlton Gardens Primary School,VIC,Government,Major Cities,359,84.71%
200,Puckapunyal Primary School,VIC,Government,Inner Regional,207,84.69%
201,Carrum Primary School,VIC,Government,Major Cities,314,84.69%
202,Wesley College,VIC,Independent,Major Cities,3031,84.69%
203,Sacred Heart School,VIC,Catholic,Major Cities,267,84.67%
204,St Leo the Great School,VIC,Catholic,Major Cities,242,84.67%
205,Bacchus Marsh Grammar,VIC,Independent,Inner Regional,1986,84.67%
206,Oakleigh Primary School,VIC,Government,Major Cities,436,84.65%
207,Lowther Hall Anglican Grammar School,VIC,Independent,Major Cities,785,84.65%
208,Galilee Regional Catholic Primary School,VIC,Catholic,Major Cities,313,84.60%
209,Milgate Primary School,VIC,Government,Major Cities,646,84.59%
210,Derinya Primary School,VIC,Government,Major Cities,800,84.57%
211,St Paul's School,VIC,Catholic,Major Cities,271,84.55%
212,The Kilmore International School,VIC,Independent,Inner Regional,437,84.53%
213,Altona Primary School,VIC,Government,Major Cities,631,84.52%
214,Doncaster Primary School,VIC,Government,Major Cities,548,84.50%
215,Mount Eliza North Primary School,VIC,Government,Major Cities,626,84.50%
216,St Margaret's Primary School,VIC,Catholic,Major Cities,333,84.43%
217,Oakleigh Grammar,VIC,Independent,Major Cities,674,84.40%
218,Carlton North Primary School,VIC,Government,Major Cities,285,84.38%
219,Our Holy Redeemer School,VIC,Catholic,Major Cities,163,84.38%
220,Oxley Christian College,VIC,Independent,Major Cities,827,84.38%
221,Hughesdale Primary School,VIC,Government,Major Cities,542,84.36%
222,Wembley Primary School,VIC,Government,Major Cities,720,84.35%
223,Tambo Upper Primary School,VIC,Government,Outer Regional,103,84.33%
224,Ocean Grove Primary School,VIC,Government,Inner Regional,633,84.33%
225,Moonee Ponds Primary School,VIC,Government,Major Cities,351,84.33%
226,Caulfield Junior College,VIC,Government,Major Cities,474,84.31%
227,Aberfeldie Primary School,VIC,Government,Major Cities,378,84.26%
228,Newport Lakes Primary School,VIC,Government,Major Cities,445,84.24%
229,Haddon Primary School,VIC,Government,Inner Regional,222,84.24%
230,St Bernadette's School,VIC,Catholic,Major Cities,239,84.24%
231,St Paul's Anglican Grammar School,VIC,Independent,Inner Regional,1259,84.24%
232,Cornish College,VIC,Independent,Major Cities,656,84.24%
233,Coburg West Primary School,VIC,Government,Major Cities,504,84.23%
234,Tulliallan Primary School,VIC,Government,Major Cities,337,84.21%
235,Footscray North Primary School,VIC,Government,Major Cities,409,84.17%
236,Heathmont East Primary School,VIC,Government,Major Cities,584,84.16%
237,Moorabbin Primary School,VIC,Government,Major Cities,248,84.14%
238,Viewbank Primary School,VIC,Government,Major Cities,654,84.14%
239,Essex Heights Primary School,VIC,Government,Major Cities,567,84.14%
240,Wonga Park Primary School,VIC,Government,Major Cities,397,84.12%
241,Andersons Creek Primary School,VIC,Government,Major Cities,339,84.12%
242,Middle Park Primary School,VIC,Government,Major Cities,531,84.11%
243,Emerald Primary School,VIC,Government,Major Cities,502,84.11%
244,Montmorency South Primary School,VIC,Government,Major Cities,619,84.11%
245,Apollo Bay P-12 College,VIC,Government,Inner Regional,262,84.11%
246,Coleraine Primary School,VIC,Government,Outer Regional,48,84.09%
247,Ripponlea Primary School,VIC,Government,Major Cities,289,84.09%
248,St James' School,VIC,Catholic,Major Cities,337,84.09%
249,Ascot Vale Primary School,VIC,Government,Major Cities,266,84.07%
250,Preston Primary School,VIC,Government,Major Cities,741,84.04%
251,Bellaire Primary School,VIC,Government,Major Cities,607,84.04%
252,St Robert's School,VIC,Catholic,Major Cities,381,84.04%
253,Croydon Hills Primary School,VIC,Government,Major Cities,680,84.02%
254,St Luke the Evangelist School,VIC,Catholic,Major Cities,202,84.02%
255,Beechworth Montessori School,VIC,Independent,Inner Regional,81,84.02%
256,St Bridget's School,VIC,Catholic,Major Cities,62,84.00%
257,Warrandyte Primary School,VIC,Government,Major Cities,211,83.99%
258,Cheltenham Primary School,VIC,Government,Major Cities,419,83.99%
259,Greenhills Primary School,VIC,Government,Major Cities,526,83.99%
260,Richmond Primary School,VIC,Government,Major Cities,351,83.99%
261,Essendon North Primary School,VIC,Government,Major Cities,664,83.97%
262,Jells Park Primary School,VIC,Government,Major Cities,507,83.95%
263,Mentone Grammar School,VIC,Independent,Major Cities,1435,83.93%
264,Northside Christian College,VIC,Independent,Major Cities,319,83.93%
265,Strathmore Primary School,VIC,Government,Major Cities,505,83.92%
266,Marysville Primary School,VIC,Government,Inner Regional,56,83.90%
267,Mount Blowhard Primary School,VIC,Government,Inner Regional,71,83.90%
268,Beaumaris Primary School,VIC,Government,Major Cities,543,83.88%
269,St Philip's School,VIC,Catholic,Major Cities,125,83.88%
270,Coburg North Primary School,VIC,Government,Major Cities,415,83.85%
271,Coatesville Primary School,VIC,Government,Major Cities,759,83.83%
272,Peninsula Grammar,VIC,Independent,Major Cities,1282,83.83%
273,Maranatha Christian School,VIC,Independent,Major Cities,766,83.83%
274,St Christopher's School,VIC,Catholic,Major Cities,91,83.81%
275,St Michael's Grammar School,VIC,Independent,Major Cities,1203,83.81%
276,St Louis de Montfort's School,VIC,Catholic,Major Cities,725,83.80%
277,Yesodei HaTorah College,VIC,Independent,Major Cities,163,83.80%
278,Solway Primary School,VIC,Government,Major Cities,507,83.78%
279,St Mary's School,VIC,Catholic,Outer Regional,516,83.76%
280,St Thomas the Apostle School,VIC,Catholic,Major Cities,350,83.76%
281,Lighthouse Christian College,VIC,Independent,Major Cities,677,83.76%
282,Mckinnon Primary School,VIC,Government,Major Cities,814,83.75%
283,Watsonia Heights Primary School,VIC,Government,Major Cities,308,83.75%
284,Xavier College,VIC,Catholic,Major Cities,1961,83.75%
285,Northcote Primary School,VIC,Government,Major Cities,377,83.71%
286,Apollo Parkways Primary School,VIC,Government,Major Cities,819,83.71%
287,Sacred Heart School,VIC,Catholic,Major Cities,276,83.66%
288,Mount Scopus Memorial College,VIC,Independent,Major Cities,1283,83.66%
289,Fish Creek and District Primary School,VIC,Government,Inner Regional,89,83.63%
290,Glen Huntly Primary School,VIC,Government,Major Cities,315,83.63%
291,Edinburgh College,VIC,Independent,Major Cities,276,83.63%
292,Thomas Mitchell Primary School,VIC,Government,Major Cities,803,83.61%
293,St Anne's School,VIC,Catholic,Major Cities,289,83.61%
294,Eltham North Primary School,VIC,Government,Major Cities,593,83.57%
295,Sandringham East Primary School,VIC,Government,Major Cities,522,83.56%
296,Woodleigh School,VIC,Independent,Major Cities,945,83.56%
297,Gordon Primary School,VIC,Government,Inner Regional,112,83.54%
298,Seabrook Primary School,VIC,Government,Major Cities,980,83.54%
299,Belle Vue Primary School,VIC,Government,Major Cities,174,83.52%
300,St Mark's School,VIC,Catholic,Major Cities,478,83.52%
301,Mulgrave Primary School,VIC,Government,Major Cities,354,83.50%
302,St James' School,VIC,Catholic,Major Cities,249,83.50%
303,Magpie Primary School,VIC,Government,Inner Regional,97,83.47%
304,Kingston Heath Primary School,VIC,Government,Major Cities,296,83.45%
305,St Aloysius' School,VIC,Catholic,Major Cities,61,83.45%
306,Albert Park Primary School,VIC,Government,Major Cities,581,83.44%
307,St Joseph's School,VIC,Catholic,Major Cities,410,83.42%
308,Mordialloc Beach Primary School,VIC,Government,Major Cities,183,83.40%
309,Elwood Primary School,VIC,Government,Major Cities,803,83.40%
310,Chatham Primary School,VIC,Government,Major Cities,409,83.40%
311,Ivanhoe East Primary School,VIC,Government,Major Cities,546,83.37%
312,Kinglake Primary School,VIC,Government,Inner Regional,86,83.35%
313,Templestowe Valley Primary School,VIC,Government,Major Cities,488,83.35%
314,Whitehorse Primary School,VIC,Government,Major Cities,361,83.33%
315,St Mary's School,VIC,Catholic,Outer Regional,42,83.32%
316,Brunswick South West Primary School,VIC,Government,Major Cities,404,83.30%
317,Wantirna South Primary School,VIC,Government,Major Cities,265,83.30%
318,Ringwood Heights Primary School,VIC,Government,Major Cities,271,83.30%
319,Selby Primary School,VIC,Government,Major Cities,240,83.28%
320,Bayswater South Primary School,VIC,Government,Major Cities,303,83.26%
321,Westbreen Primary School,VIC,Government,Major Cities,263,83.25%
322,Tinternvale Primary School,VIC,Government,Major Cities,334,83.25%
323,Pleasant Street Primary School ( Ballarat),VIC,Government,Inner Regional,346,83.23%
324,Wandin Yallock Primary School,VIC,Government,Major Cities,85,83.23%
325,Port Melbourne Primary School,VIC,Government,Major Cities,813,83.23%
326,Avondale Primary School,VIC,Government,Major Cities,361,83.23%
327,Camberwell South Primary School,VIC,Government,Major Cities,481,83.21%
328,St Mary's School,VIC,Catholic,Major Cities,261,83.21%
329,Resurrection House,VIC,Catholic,Major Cities,159,83.20%
330,Aspendale Gardens Primary School,VIC,Government,Major Cities,670,83.18%
331,Bright P-12 College,VIC,Government,Outer Regional,550,83.16%
332,Macedon Primary School,VIC,Government,Inner Regional,241,83.16%
333,Castlemaine North Primary School,VIC,Government,Inner Regional,242,83.16%
334,St Joseph's School,VIC,Catholic,Outer Regional,42,83.16%
335,St Mary's School,VIC,Catholic,Major Cities,365,83.16%
336,St Finbar's School,VIC,Catholic,Major Cities,324,83.16%
337,St Joseph's Primary School,VIC,Catholic,Major Cities,156,83.13%
338,Red Hill Consolidated School,VIC,Government,Inner Regional,578,83.11%
339,Nazareth School,VIC,Catholic,Major Cities,314,83.09%
340,Hillcrest Christian College,VIC,Independent,Major Cities,1524,83.09%
341,Flemington Primary School,VIC,Government,Major Cities,414,83.08%
342,Brighton Primary School,VIC,Government,Major Cities,768,83.08%
343,St Columba's School,VIC,Catholic,Major Cities,154,83.08%
344,Auburn Primary School,VIC,Government,Major Cities,499,83.06%
345,St Peter's School,VIC,Catholic,Major Cities,666,83.06%
346,St Patrick's School,VIC,Catholic,Major Cities,338,83.06%
347,Balnarring Primary School,VIC,Government,Major Cities,377,83.02%
348,Briar Hill Primary School,VIC,Government,Major Cities,193,83.02%
349,St Raphael's School,VIC,Catholic,Major Cities,272,83.02%
350,Our Lady of the Pines School,VIC,Catholic,Major Cities,348,83.02%
351,Williamstown Primary School,VIC,Government,Major Cities,531,83.01%
352,Parktone Primary School,VIC,Government,Major Cities,553,83.01%
353,Sandringham Primary School,VIC,Government,Major Cities,488,82.99%
354,Toolamba Primary School,VIC,Government,Inner Regional,168,82.99%
355,Caulfield South Primary School,VIC,Government,Major Cities,496,82.99%
356,Kew Primary School,VIC,Government,Major Cities,493,82.97%
357,Dandenong North Primary School,VIC,Government,Major Cities,833,82.96%
358,St Monica's School,VIC,Catholic,Major Cities,134,82.94%
359,Christian College Highton,VIC,Independent,Major Cities,984,82.92%
360,Montmorency Primary School,VIC,Government,Major Cities,258,82.90%
361,Park Ridge Primary School,VIC,Government,Major Cities,612,82.90%
362,Woodend Primary School,VIC,Government,Inner Regional,400,82.89%
363,Kunyung Primary School,VIC,Government,Major Cities,689,82.89%
364,St Patrick's School,VIC,Catholic,Major Cities,357,82.87%
365,Kardinia International College,VIC,Independent,Major Cities,1787,82.87%
366,Cowes Primary School,VIC,Government,Inner Regional,585,82.85%
367,Rosanna Primary School,VIC,Government,Major Cities,314,82.85%
368,Bonbeach Primary School,VIC,Government,Major Cities,302,82.85%
369,Greensborough Primary School,VIC,Government,Major Cities,168,82.84%
370,Warragul North Primary School,VIC,Government,Inner Regional,617,82.84%
371,St Mary's School,VIC,Catholic,Major Cities,289,82.84%
372,Birregurra Primary School,VIC,Government,Inner Regional,83,82.82%
373,Our Lady of the Nativity School,VIC,Catholic,Major Cities,396,82.82%
374,Marlborough Primary School,VIC,Government,Major Cities,208,82.80%
375,St Joseph's School,VIC,Catholic,Major Cities,152,82.80%
376,St Francis Xavier's School,VIC,Catholic,Major Cities,354,82.80%
377,Wallington Primary School,VIC,Government,Inner Regional,160,82.78%
378,Elsternwick Primary School,VIC,Government,Major Cities,595,82.77%
379,Girton Grammar School,VIC,Independent,Inner Regional,1141,82.77%
380,Tucker Road Bentleigh Primary School,VIC,Government,Major Cities,615,82.75%
381,St Paul's School,VIC,Catholic,Major Cities,364,82.75%
382,St James School,VIC,Catholic,Inner Regional,102,82.73%
383,Truganina P-9 College,VIC,Government,Major Cities,897,82.73%
384,St Martin of Tours School,VIC,Catholic,Major Cities,512,82.72%
385,Bellbrae Primary School,VIC,Government,Inner Regional,501,82.68%
386,St Paul's Kealba Catholic School,VIC,Catholic,Major Cities,340,82.68%
387,St Therese's School,VIC,Catholic,Major Cities,546,82.65%
388,Yeshivah College,VIC,Independent,Major Cities,386,82.65%
389,King's College,VIC,Independent,Inner Regional,212,82.65%
390,St John's Lutheran School Geelong,VIC,Independent,Major Cities,248,82.63%
391,Glen Waverley South Primary School,VIC,Government,Major Cities,338,82.61%
392,Beaconhills College,VIC,Independent,Major Cities,2902,82.61%
393,St Theresa's School,VIC,Catholic,Major Cities,226,82.60%
394,St Damian's School,VIC,Catholic,Major Cities,432,82.58%
395,Beaumaris North Primary School,VIC,Government,Major Cities,693,82.56%
396,Sacred Heart School,VIC,Catholic,Outer Regional,58,82.54%
397,Diamond Creek Primary School,VIC,Government,Major Cities,221,82.53%
398,Quarry Hill Primary School,VIC,Government,Inner Regional,361,82.53%
399,Footscray West Primary School,VIC,Government,Major Cities,619,82.53%
400,St Joseph's School,VIC,Catholic,Major Cities,187,82.53%
401,St Joseph's School,VIC,Catholic,Major Cities,319,82.51%
402,St Francis of Assisi School,VIC,Catholic,Major Cities,1112,82.51%
403,Flinders Christian Community College,VIC,Independent,Major Cities,1877,82.51%
404,Hume Anglican Grammar,VIC,Independent,Major Cities,1018,82.51%
405,Wandin North Primary School,VIC,Government,Major Cities,248,82.49%
406,Port Fairy Consolidated School,VIC,Government,Inner Regional,221,82.48%
407,St Anne's School,VIC,Catholic,Major Cities,161,82.48%
408,Bendigo Primary School,VIC,Government,Inner Regional,172,82.44%
409,Kingswood Primary School,VIC,Government,Major Cities,587,82.44%
410,Roberts McCubbin Primary School,VIC,Government,Major Cities,418,82.44%
411,Newport Gardens Primary School,VIC,Government,Major Cities,481,82.42%
412,Tarrington Lutheran School,VIC,Independent,Outer Regional,118,82.41%
413,Bairnsdale Primary School,VIC,Government,Outer Regional,246,82.35%
414,Pascoe Vale Primary School,VIC,Government,Major Cities,521,82.35%
415,Barwon Heads Primary School,VIC,Government,Inner Regional,492,82.34%
416,St Peter's School,VIC,Catholic,Major Cities,194,82.34%
417,Our Lady of the Way School,VIC,Catholic,Major Cities,144,82.32%
418,St Mary's School,VIC,Catholic,Inner Regional,153,82.32%
419,St Christopher's School,VIC,Catholic,Major Cities,717,82.30%
